y_true,pd
0,0.1668416408080436
1,0.3636940569404955
0,0.3319878258217729
0,0.48252691588042806
0,0.31666757087698727
0,0.2872105450752391
0,0.1482970766962833
1,0.46509645661317284
1,0.41347844160736896
0,0.363694056874851
0,0.08491955859454206
1,0.48252691561893135
0,0.3319878258471254
1,0.380024162784769
0,0.41347844158814456
0,0.46509645689175944
0,0.46509645679872136
0,0.46509645658127186
1,0.48252691556225896
0,0.12370721316735288
0,0.31666757099396214
1,0.246246382330738
0,0.46509645687283213
0,0.24624638243783348
0,0.09643612641267568
0,0.057495587501361724
0,0.1871955122315644
1,0.4134784416287105
0,0.19806755723767458
0,0.38002416245999093
0,0.4134784412587827
0,0.41347844125873323
0,0.44775083370933205
0,0.39663045267419383
0,0.22121936827960986
0,0.4134784412259966
0,0.18719551223156036
1,0.13148845044842614
0,0.4134784413127801
0,0.25945326608642494
0,0.19806755735738785
0,0.06555944191105534
1,0.12370721327205463
0,0.39663045244959044
1,0.4650964569473534
0,0.029425100889229467
1,0.4477508337704622
1,0.413478441339083
0,0.46509645655381854
0,0.1237072131189662
0,0.34767216034282805
0,0.34767216028372017
0,0.4134784412588467
0,0.07466467092469402
0,0.2212193682794986
0,0.10270304386570504
0,0.02942510087945541
0,0.4134784413127962
0,0.27311182184720006
0,0.07466467087462429
0,0.3966304525592902
0,0.4134784412700299
0,0.047128828677457664
1,0.1871955121760443
0,0.24624638234839943
0,0.02942510089239671
0,0.18719551215665262
0,0.19806755722199523
0,0.28721054500432724
0,0.44775083391645565
0,0.4477508336650537
0,0.33198782584667885
0,0.3966304526779932
1,0.3636940571016457
1,0.19806755722954272
0,0.30173496194639926
0,0.23349979475313126
0,0.3017349618542859
1,0.4134784416398274
1,0.24624638242210792
1,0.07466467087462429
0,0.41347844128555744
0,0.16684164079229472
1,0.33198782587382397
1,0.3636940572941591
1,0.447750833959846
1,0.4825269155072634
0,0.19806755723963262
0,0.44775083396660953
0,0.17678867958048136
0,0.4477508334920399
1,0.48252691576749884
0,0.23349979473298854
1,0.3166675710868641
0,0.03148905727248434
