score,pd,target
667.9421783033656,0.465096456677728,1
588.2649981472659,0.3017349620017878,1
630.9959360501231,0.34767216035545795,0
667.9520663286961,0.41347844128592987,0
667.9513183729691,0.4134784412730181,0
667.9517760305303,0.4134784412857989,0
533.1142718925638,0.029425100889181613,0
630.9956536862429,0.3319878257765113,0
588.2714755388454,0.27311182175994847,0
667.9511292298362,0.46509645646760717,0
562.979692867741,0.1980675572481922,0
562.9796680695434,0.13968111323581361,0
533.1138867526676,0.029425100876010107,0
630.984750299851,0.38002416266756084,1
562.9819073297197,0.14829707677252035,0
667.9446517245037,0.4134784413355936,0
667.940866444589,0.4650964568683648,1
533.1144729229061,0.09643612644746997,0
533.1129866804743,0.07466467089897924,0
588.2715588630642,0.221219368180075,0
588.2728869032335,0.287210545079739,0
588.2729325751432,0.3017349618554104,1
630.9829940926377,0.3800241626553994,1
533.1140700943873,0.041231922040075086,1
630.9957325172103,0.3476721603635551,0
667.9517760305303,0.41347844128577027,0
630.9943605398676,0.39663045260086727,1
667.9516043485135,0.41347844125870054,0
667.951402550337,0.4134784411801291,0
667.9516043485135,0.4134784412855574,0
562.981397374125,0.16684164073250043,0
667.9474511623123,0.413478441350612,1
630.9961077321399,0.3319878258473061,0
533.1140700943873,0.02942510086489727,0
533.1140700943873,0.02942510086842316,0
588.2729396562798,0.2462463823053585,0
533.114580049982,0.12370721324091298,0
630.9956716023719,0.3966304526050875,0
667.9495597769386,0.4134784411994039,1
533.1117112227215,0.1237072132211822,0
533.1142718925638,0.07466467093103914,0
630.9959539093754,0.38002416243408804,0
667.951323946876,0.48252691556061056,0
588.2734425307378,0.2731118217144821,0
667.9497233824783,0.43053143576808617,0
562.9818664354444,0.18719551210709662,1
667.9494516829606,0.46509645665651894,1
588.2729419882205,0.25945326610793873,1
533.1137797962215,0.0655594418966263,0
667.9516222077658,0.4650964566440122,0
630.9826943529562,0.3800241627214133,1
630.9966783750666,0.3319878257979962,0
533.1140870720524,0.10270304387621097,0
588.2654572836186,0.22121936833406672,0
588.2689633278661,0.259453266196279,0
533.1140700943873,0.029425100865261525,0
588.273335403662,0.22121936824502728,0
588.2735963535023,0.22121936827961466,0
562.9680348141834,0.198067557401095,0
533.1145621907297,0.057495587517504686,0
533.1145621907297,0.029425100889212522,1
630.9962771390926,0.3800241624720774,0
667.9342278647256,0.4134784416286481,1
667.95225746251,0.41347844119533445,1
588.2729325751432,0.28721054500117843,0
562.975134663272,0.19806755724722552,1
667.9399829519244,0.48252691577514006,1
562.9775772857312,0.18719551220149153,0
588.2658140136532,0.2872105450866037,0
667.9474511623123,0.465096456710676,0
630.9954439537808,0.3636940567490074,0
533.0970492315403,0.09643612657773475,1
562.9797349848632,0.19806755721692604,0
533.112227320989,0.11632478037593515,0
533.1137797962215,0.08491955862434072,0
667.9496730751256,0.4650964567013433,0
667.9512712507061,0.4134784412652921,0
533.1140700943873,0.10932794149701933,0
667.9516222077658,0.44775083361011264,1
562.9803139602119,0.15734729870301398,1
533.1150142175073,0.03604494409200681,0
533.1140244224777,0.07466467091879585,0
630.9961077321399,0.39663045265195807,1
533.1127847401062,0.05749558753003333,0
667.9517760305303,0.4134784412589004,0
588.2731343733196,0.24624638241662822,0
533.1120059857005,0.07466467092653252,1
588.2728869032335,0.24624638238406169,0
588.273335403662,0.28721054507731414,0
667.9399284357035,0.4650964568261287,0
562.9649571076097,0.19806755748186805,1
533.1136385716239,0.12370721317875892,0
630.9954439537808,0.3319878256326705,0
588.2729325751432,0.2462463823162576,0
630.9961077321399,0.3966304526254619,0
630.9961077321399,0.3476721603810846,0
533.114037162836,0.07466467091083444,0
588.273152232572,0.2594532661662868,0
667.9519125059317,0.4134784412858692,0
667.9519275782307,0.4650964566564959,1
588.2726422769773,0.27311182154671154,0
533.1136056400726,0.0655594418925413,0
533.1074867701407,0.0336927595664603,0
667.9517760305303,0.41347844125890476,1
630.9802729170304,0.3966304529107914,0
630.9954439537808,0.3800241622868818,0
630.9957512296116,0.36369405674991995,0
533.1137797962215,0.07964147128098732,0
588.2730451054961,0.2872105450773061,0
533.1129866804743,0.07466467090663953,0
533.1126309173419,0.09051304048600524,0
667.9499455140391,0.4134784413684478,0
533.0971857069418,0.12370721340078783,0
630.9959539093754,0.3319878258226207,0
667.9516222077658,0.4134784412857081,0
667.9418780517948,0.4477508338025156,1
562.981397374125,0.15734729872152953,0
630.9917650046696,0.3636940569106486,1
533.1140700943873,0.05749558750017664,0
562.9820215948089,0.1573472987484195,0
667.9343816874899,0.4134784416441272,1
533.1129866804743,0.04123192205930106,1
588.2718491612301,0.31666757077646623,0
533.1105628272929,0.10270304397807922,1
667.9517760305303,0.46509645664412086,0
667.9500288382579,0.4650964565281432,0
562.9820611524841,0.19806755723958555,0
588.2735963535023,0.22121936829878264,1
667.9516142450418,0.41347844131167955,1
630.9844863355509,0.39663045287653753,0
667.9495597769386,0.44775083351868267,0
